,CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Geography_France,Geography_Germany,Geography_Spain
30,411.0,1.0,29.0,0.0,59697.17,2.0,1.0,1.0,53483.21,0.0,0.0,1.0
31,591.0,0.0,39.0,3.0,0.0,3.0,1.0,0.0,140469.38,1.0,0.0,0.0
32,533.0,1.0,36.0,7.0,85311.7,1.0,0.0,1.0,156731.91,0.0,1.0,0.0
33,553.0,1.0,41.0,9.0,110112.54,2.0,0.0,0.0,81898.81,0.0,0.0,1.0
34,520.0,0.0,42.0,6.0,0.0,2.0,1.0,1.0,34410.55,0.0,0.0,1.0
35,722.0,0.0,29.0,9.0,0.0,2.0,1.0,1.0,142033.07,1.0,0.0,0.0
36,475.0,0.0,45.0,0.0,134264.04,1.0,1.0,0.0,27822.99,0.0,0.0,1.0
37,490.0,1.0,31.0,3.0,145260.23,1.0,0.0,1.0,114066.77,0.0,0.0,1.0
38,804.0,1.0,33.0,7.0,76548.6,1.0,0.0,1.0,98453.45,1.0,0.0,0.0
39,850.0,1.0,36.0,7.0,0.0,1.0,1.0,1.0,40812.9,0.0,1.0,0.0
40,582.0,1.0,41.0,6.0,70349.48,2.0,0.0,1.0,178074.04,0.0,0.0,1.0
41,472.0,1.0,40.0,4.0,0.0,1.0,1.0,0.0,70154.22,1.0,0.0,0.0
42,465.0,0.0,51.0,8.0,122522.32,1.0,0.0,0.0,181297.65,1.0,0.0,0.0
43,556.0,0.0,61.0,2.0,117419.35,1.0,1.0,1.0,94153.83,1.0,0.0,0.0
44,834.0,0.0,49.0,2.0,131394.56,1.0,0.0,0.0,194365.76,0.0,0.0,1.0
45,660.0,0.0,61.0,5.0,155931.11,1.0,1.0,1.0,158338.39,0.0,1.0,0.0
46,776.0,0.0,32.0,4.0,109421.13,2.0,1.0,1.0,126517.46,0.0,1.0,0.0
47,829.0,0.0,27.0,9.0,112045.67,1.0,1.0,1.0,119708.21,0.0,1.0,0.0
48,637.0,0.0,39.0,9.0,137843.8,1.0,1.0,1.0,117622.8,0.0,1.0,0.0
49,550.0,1.0,38.0,2.0,103391.38,1.0,0.0,1.0,90878.13,0.0,1.0,0.0
50,776.0,0.0,37.0,2.0,103769.22,2.0,1.0,0.0,194099.12,0.0,1.0,0.0
51,698.0,1.0,44.0,10.0,116363.37,2.0,1.0,0.0,198059.16,0.0,1.0,0.0
52,585.0,1.0,36.0,5.0,146050.97,2.0,0.0,0.0,86424.57,1.0,0.0,0.0
53,788.0,0.0,33.0,5.0,0.0,2.0,0.0,0.0,116978.19,0.0,1.0,0.0
54,655.0,1.0,41.0,8.0,125561.97,1.0,0.0,0.0,164040.94,0.0,1.0,0.0
55,601.0,1.0,42.0,1.0,98495.72,1.0,1.0,0.0,40014.76,1.0,0.0,0.0
56,619.0,1.0,43.0,1.0,125211.92,1.0,1.0,1.0,113410.49,1.0,0.0,0.0
57,656.0,1.0,45.0,5.0,127864.4,1.0,1.0,0.0,87107.57,0.0,1.0,0.0
58,725.0,1.0,19.0,0.0,75888.2,1.0,0.0,0.0,45613.75,0.0,0.0,1.0
59,511.0,0.0,66.0,4.0,0.0,1.0,1.0,0.0,1643.11,1.0,0.0,0.0
60,614.0,1.0,51.0,4.0,40685.92,1.0,1.0,1.0,46775.28,0.0,1.0,0.0
61,742.0,1.0,35.0,5.0,136857.0,1.0,0.0,0.0,84509.57,0.0,1.0,0.0
62,687.0,0.0,27.0,9.0,152328.88,2.0,0.0,0.0,126494.82,0.0,0.0,1.0
63,555.0,1.0,33.0,1.0,56084.69,2.0,0.0,0.0,178798.13,0.0,0.0,1.0
64,684.0,1.0,56.0,8.0,78707.16,1.0,1.0,1.0,99398.36,0.0,1.0,0.0
65,603.0,1.0,26.0,4.0,109166.37,1.0,1.0,1.0,92840.67,0.0,1.0,0.0
66,751.0,0.0,36.0,6.0,169831.46,2.0,1.0,1.0,27758.36,0.0,1.0,0.0
67,581.0,0.0,34.0,1.0,101633.04,1.0,1.0,0.0,110431.51,0.0,1.0,0.0
68,735.0,1.0,43.0,10.0,123180.01,2.0,1.0,1.0,196673.28,0.0,1.0,0.0
69,661.0,0.0,35.0,5.0,150725.53,2.0,0.0,1.0,113656.85,1.0,0.0,0.0
70,675.0,0.0,21.0,8.0,98373.26,1.0,1.0,0.0,18203.0,0.0,1.0,0.0
71,738.0,1.0,58.0,2.0,133745.44,4.0,1.0,0.0,28373.86,1.0,0.0,0.0
72,813.0,1.0,29.0,6.0,0.0,1.0,1.0,0.0,33953.87,0.0,0.0,1.0
73,657.0,0.0,37.0,0.0,163607.18,1.0,0.0,1.0,44203.55,0.0,1.0,0.0
74,604.0,0.0,25.0,5.0,157780.84,2.0,1.0,1.0,58426.81,1.0,0.0,0.0
75,519.0,1.0,36.0,9.0,0.0,2.0,0.0,1.0,145562.4,1.0,0.0,0.0
76,735.0,0.0,21.0,1.0,178718.19,2.0,1.0,0.0,22388.0,1.0,0.0,0.0
77,664.0,1.0,55.0,8.0,0.0,2.0,1.0,1.0,139161.64,1.0,0.0,0.0
78,678.0,0.0,32.0,9.0,0.0,1.0,1.0,1.0,148210.64,0.0,0.0,1.0
79,757.0,1.0,33.0,5.0,77253.22,1.0,0.0,1.0,194239.63,0.0,1.0,0.0
80,416.0,0.0,41.0,10.0,122189.66,2.0,1.0,0.0,98301.61,1.0,0.0,0.0
81,665.0,0.0,34.0,1.0,96645.54,2.0,0.0,0.0,171413.66,1.0,0.0,0.0
82,777.0,0.0,32.0,2.0,0.0,1.0,1.0,0.0,136458.19,1.0,0.0,0.0
83,543.0,0.0,36.0,3.0,0.0,2.0,0.0,0.0,26019.59,1.0,0.0,0.0
84,506.0,0.0,34.0,4.0,90307.62,1.0,1.0,1.0,159235.29,1.0,0.0,0.0
85,493.0,0.0,46.0,4.0,0.0,2.0,1.0,0.0,1907.66,0.0,0.0,1.0
86,652.0,0.0,75.0,10.0,0.0,2.0,1.0,1.0,114675.75,0.0,0.0,1.0
87,750.0,1.0,22.0,3.0,121681.82,1.0,1.0,0.0,128643.35,1.0,0.0,0.0
88,729.0,1.0,30.0,9.0,0.0,2.0,1.0,0.0,151869.35,1.0,0.0,0.0
89,646.0,0.0,46.0,4.0,0.0,3.0,1.0,0.0,93251.42,0.0,1.0,0.0
90,635.0,0.0,28.0,3.0,81623.67,2.0,1.0,1.0,156791.36,0.0,0.0,1.0
91,647.0,0.0,44.0,5.0,0.0,3.0,1.0,1.0,174205.22,1.0,0.0,0.0
92,808.0,1.0,45.0,7.0,118626.55,2.0,1.0,0.0,147132.46,1.0,0.0,0.0
93,524.0,0.0,36.0,10.0,0.0,2.0,1.0,0.0,109614.57,1.0,0.0,0.0
94,769.0,1.0,29.0,8.0,0.0,2.0,1.0,1.0,172290.61,0.0,0.0,1.0
95,730.0,1.0,42.0,4.0,0.0,2.0,0.0,1.0,85982.47,0.0,0.0,1.0
96,515.0,1.0,35.0,10.0,176273.95,1.0,0.0,1.0,121277.78,0.0,0.0,1.0
97,773.0,1.0,41.0,9.0,102827.44,1.0,0.0,1.0,64595.25,0.0,1.0,0.0
98,814.0,1.0,29.0,8.0,97086.4,2.0,1.0,1.0,197276.13,0.0,0.0,1.0
99,710.0,1.0,22.0,8.0,0.0,2.0,0.0,0.0,99645.04,1.0,0.0,0.0
100,413.0,1.0,34.0,9.0,0.0,2.0,0.0,0.0,6534.18,1.0,0.0,0.0
101,665.0,0.0,40.0,6.0,0.0,1.0,1.0,1.0,161848.03,1.0,0.0,0.0
102,623.0,0.0,44.0,6.0,0.0,2.0,0.0,0.0,167162.43,1.0,0.0,0.0
103,738.0,1.0,31.0,9.0,82674.15,1.0,1.0,0.0,41970.72,0.0,0.0,1.0
104,528.0,1.0,36.0,7.0,0.0,2.0,1.0,0.0,60536.56,0.0,0.0,1.0
105,670.0,0.0,65.0,1.0,0.0,1.0,1.0,1.0,177655.68,0.0,0.0,1.0
106,622.0,0.0,46.0,4.0,107073.27,2.0,1.0,1.0,30984.59,0.0,1.0,0.0
107,582.0,1.0,32.0,1.0,88938.62,1.0,1.0,1.0,10054.53,0.0,1.0,0.0
108,785.0,0.0,36.0,2.0,99806.85,1.0,0.0,1.0,36976.52,0.0,0.0,1.0
109,605.0,1.0,33.0,5.0,150092.8,1.0,0.0,0.0,71862.79,0.0,1.0,0.0
110,479.0,1.0,35.0,9.0,92833.89,1.0,1.0,0.0,99449.86,0.0,1.0,0.0
111,685.0,1.0,30.0,3.0,90536.81,1.0,0.0,1.0,63082.88,0.0,1.0,0.0
112,538.0,1.0,39.0,7.0,108055.1,2.0,1.0,0.0,27231.26,1.0,0.0,0.0
113,562.0,1.0,42.0,2.0,100238.35,1.0,0.0,0.0,86797.41,0.0,0.0,1.0
114,675.0,1.0,36.0,9.0,106190.55,1.0,0.0,1.0,22994.32,0.0,1.0,0.0
115,721.0,1.0,28.0,9.0,154475.54,2.0,0.0,1.0,101300.94,0.0,1.0,0.0
116,628.0,0.0,30.0,9.0,132351.29,2.0,1.0,1.0,74169.13,0.0,1.0,0.0
117,668.0,0.0,37.0,6.0,167864.4,1.0,1.0,0.0,115638.29,1.0,0.0,0.0
118,506.0,0.0,41.0,1.0,0.0,2.0,1.0,0.0,31766.3,0.0,1.0,0.0
119,524.0,0.0,31.0,8.0,107818.63,1.0,1.0,0.0,199725.39,0.0,1.0,0.0
120,699.0,1.0,34.0,4.0,185173.81,2.0,1.0,0.0,120834.48,1.0,0.0,0.0
121,828.0,1.0,34.0,8.0,129433.34,2.0,0.0,0.0,38131.77,0.0,0.0,1.0
122,674.0,1.0,39.0,6.0,120193.42,1.0,0.0,0.0,100130.95,1.0,0.0,0.0
123,656.0,0.0,39.0,6.0,0.0,2.0,1.0,0.0,141069.88,0.0,1.0,0.0
124,684.0,0.0,48.0,10.0,126384.42,1.0,1.0,1.0,198129.36,1.0,0.0,0.0
125,625.0,0.0,28.0,3.0,0.0,1.0,0.0,0.0,183646.41,1.0,0.0,0.0
126,432.0,1.0,42.0,9.0,152603.45,1.0,1.0,0.0,110265.24,1.0,0.0,0.0
127,549.0,0.0,52.0,1.0,0.0,1.0,0.0,1.0,8636.05,0.0,1.0,0.0
128,625.0,1.0,56.0,0.0,148507.24,1.0,1.0,0.0,46824.08,1.0,0.0,0.0
129,828.0,0.0,41.0,7.0,0.0,2.0,1.0,0.0,171378.77,1.0,0.0,0.0
130,770.0,1.0,24.0,9.0,101827.07,1.0,1.0,0.0,167256.35,1.0,0.0,0.0
131,758.0,0.0,34.0,3.0,0.0,2.0,1.0,1.0,124226.16,0.0,1.0,0.0
132,795.0,0.0,33.0,9.0,130862.43,1.0,1.0,1.0,114935.21,1.0,0.0,0.0
133,687.0,1.0,38.0,9.0,122570.87,1.0,1.0,1.0,35608.88,1.0,0.0,0.0
134,686.0,1.0,25.0,1.0,0.0,2.0,0.0,1.0,16459.37,0.0,1.0,0.0
135,789.0,1.0,39.0,7.0,124828.46,2.0,1.0,1.0,124411.08,0.0,1.0,0.0
136,589.0,0.0,50.0,5.0,144895.05,2.0,1.0,1.0,34941.23,0.0,1.0,0.0
137,461.0,0.0,34.0,5.0,63663.93,1.0,0.0,1.0,167784.28,1.0,0.0,0.0
138,637.0,1.0,40.0,2.0,133463.1,1.0,0.0,1.0,93165.34,0.0,0.0,1.0
139,584.0,0.0,48.0,2.0,213146.2,1.0,1.0,0.0,75161.25,0.0,0.0,1.0
140,579.0,0.0,35.0,1.0,129490.36,2.0,0.0,1.0,8590.83,0.0,1.0,0.0
141,756.0,1.0,44.0,10.0,137452.09,1.0,1.0,0.0,189543.9,1.0,0.0,0.0
142,663.0,1.0,34.0,7.0,0.0,2.0,1.0,1.0,180427.24,1.0,0.0,0.0
143,682.0,0.0,43.0,5.0,125851.93,1.0,1.0,1.0,193318.33,0.0,0.0,1.0
144,793.0,1.0,52.0,2.0,0.0,1.0,1.0,0.0,159123.82,1.0,0.0,0.0
145,691.0,0.0,31.0,5.0,40915.55,1.0,1.0,0.0,126213.84,0.0,0.0,1.0
146,485.0,0.0,21.0,5.0,113157.22,1.0,1.0,1.0,54141.5,0.0,0.0,1.0
147,635.0,0.0,29.0,8.0,138296.94,2.0,1.0,0.0,141075.51,1.0,0.0,0.0
148,650.0,1.0,37.0,5.0,106967.18,1.0,0.0,0.0,24495.03,1.0,0.0,0.0
149,735.0,1.0,44.0,9.0,120681.63,1.0,1.0,0.0,74836.34,1.0,0.0,0.0
150,416.0,1.0,32.0,0.0,0.0,2.0,0.0,1.0,878.87,0.0,0.0,1.0
151,754.0,0.0,32.0,7.0,0.0,2.0,1.0,0.0,89520.75,1.0,0.0,0.0
152,535.0,0.0,48.0,9.0,0.0,1.0,1.0,0.0,149892.79,0.0,0.0,1.0
153,716.0,1.0,42.0,8.0,0.0,2.0,1.0,0.0,180800.42,1.0,0.0,0.0
154,539.0,1.0,37.0,2.0,127609.59,1.0,1.0,0.0,98646.22,1.0,0.0,0.0
155,614.0,0.0,43.0,6.0,0.0,2.0,1.0,1.0,109041.53,0.0,0.0,1.0
156,706.0,1.0,57.0,7.0,0.0,1.0,1.0,0.0,17941.16,1.0,0.0,0.0
157,758.0,0.0,33.0,7.0,0.0,2.0,0.0,0.0,82996.47,0.0,0.0,1.0
158,586.0,0.0,28.0,2.0,0.0,2.0,1.0,1.0,92067.35,1.0,0.0,0.0
159,646.0,0.0,73.0,6.0,97259.25,1.0,0.0,1.0,104719.66,0.0,1.0,0.0
160,631.0,0.0,33.0,4.0,123246.7,1.0,0.0,0.0,112687.57,0.0,0.0,1.0
161,717.0,0.0,22.0,6.0,101060.25,1.0,0.0,1.0,84699.56,1.0,0.0,0.0
162,684.0,1.0,30.0,2.0,0.0,2.0,1.0,0.0,83473.82,1.0,0.0,0.0
163,800.0,0.0,49.0,7.0,108007.36,1.0,0.0,0.0,47125.11,0.0,0.0,1.0
164,721.0,0.0,36.0,2.0,0.0,2.0,1.0,1.0,106977.8,0.0,0.0,1.0
165,683.0,1.0,29.0,0.0,133702.89,1.0,1.0,0.0,55582.54,0.0,1.0,0.0
166,660.0,1.0,31.0,9.0,125189.75,2.0,1.0,1.0,139874.43,0.0,1.0,0.0
167,704.0,0.0,24.0,7.0,113034.22,1.0,1.0,0.0,162503.48,0.0,0.0,1.0
168,615.0,0.0,41.0,9.0,109013.23,1.0,1.0,0.0,196499.96,0.0,0.0,1.0
169,667.0,0.0,39.0,2.0,0.0,2.0,1.0,0.0,40721.24,0.0,1.0,0.0
170,682.0,1.0,24.0,9.0,57929.81,2.0,0.0,0.0,53134.3,1.0,0.0,0.0
171,484.0,0.0,29.0,4.0,130114.39,1.0,1.0,0.0,164017.89,0.0,1.0,0.0
172,628.0,1.0,27.0,5.0,95826.49,2.0,1.0,0.0,155996.96,0.0,1.0,0.0
173,480.0,1.0,44.0,10.0,129608.57,1.0,1.0,0.0,5472.7,1.0,0.0,0.0
174,578.0,1.0,30.0,4.0,169462.09,1.0,1.0,0.0,112187.11,1.0,0.0,0.0
175,512.0,1.0,40.0,5.0,0.0,2.0,1.0,1.0,146457.83,0.0,0.0,1.0
176,484.0,0.0,35.0,7.0,133868.21,1.0,1.0,1.0,27286.1,1.0,0.0,0.0
177,510.0,0.0,30.0,0.0,0.0,2.0,1.0,1.0,130553.47,0.0,1.0,0.0
178,606.0,1.0,36.0,5.0,190479.48,2.0,0.0,0.0,179351.89,0.0,0.0,1.0
179,597.0,0.0,40.0,8.0,101993.12,1.0,0.0,1.0,94774.12,0.0,1.0,0.0
180,754.0,0.0,55.0,3.0,161608.81,1.0,1.0,0.0,8080.85,0.0,0.0,1.0
181,850.0,0.0,45.0,2.0,122311.21,1.0,1.0,1.0,19482.5,1.0,0.0,0.0
182,510.0,1.0,65.0,2.0,0.0,2.0,1.0,1.0,48071.61,0.0,1.0,0.0
183,778.0,0.0,45.0,1.0,162150.42,2.0,1.0,0.0,174531.27,1.0,0.0,0.0
184,636.0,1.0,42.0,2.0,0.0,2.0,1.0,1.0,55470.78,1.0,0.0,0.0
185,804.0,0.0,50.0,4.0,0.0,1.0,1.0,1.0,8546.87,1.0,0.0,0.0
186,514.0,1.0,32.0,8.0,0.0,2.0,1.0,0.0,95857.18,1.0,0.0,0.0
187,730.0,0.0,39.0,1.0,99010.67,1.0,1.0,0.0,194945.8,0.0,0.0,1.0
188,525.0,0.0,37.0,0.0,0.0,1.0,0.0,1.0,131521.72,0.0,0.0,1.0
189,616.0,1.0,30.0,5.0,0.0,2.0,0.0,1.0,196108.51,0.0,1.0,0.0
190,687.0,0.0,34.0,7.0,111388.18,2.0,1.0,0.0,148564.76,1.0,0.0,0.0
191,715.0,0.0,41.0,8.0,56214.85,2.0,0.0,0.0,92982.61,1.0,0.0,0.0
192,512.0,0.0,36.0,3.0,84327.77,2.0,1.0,0.0,17675.36,1.0,0.0,0.0
193,479.0,1.0,40.0,1.0,0.0,2.0,0.0,0.0,114996.43,1.0,0.0,0.0
194,601.0,1.0,32.0,8.0,93012.89,1.0,1.0,0.0,86957.42,0.0,0.0,1.0
195,580.0,1.0,29.0,9.0,61710.44,2.0,1.0,0.0,128077.8,1.0,0.0,0.0
196,807.0,1.0,35.0,3.0,174790.15,1.0,1.0,1.0,600.36,0.0,0.0,1.0
197,616.0,0.0,32.0,6.0,0.0,2.0,1.0,1.0,43001.46,0.0,1.0,0.0
198,721.0,1.0,37.0,3.0,107720.64,1.0,1.0,1.0,158591.12,1.0,0.0,0.0
199,501.0,1.0,57.0,10.0,0.0,2.0,1.0,1.0,47847.19,1.0,0.0,0.0
200,521.0,1.0,35.0,6.0,96423.84,1.0,1.0,0.0,10488.44,0.0,0.0,1.0
201,850.0,1.0,30.0,2.0,141040.01,1.0,1.0,1.0,5978.2,1.0,0.0,0.0
202,759.0,1.0,42.0,4.0,105420.18,1.0,0.0,1.0,121409.06,0.0,0.0,1.0
203,516.0,1.0,50.0,5.0,0.0,1.0,0.0,1.0,146145.93,1.0,0.0,0.0
204,711.0,0.0,38.0,2.0,129022.06,2.0,1.0,1.0,14374.86,0.0,0.0,1.0
205,512.0,1.0,33.0,3.0,176666.62,1.0,1.0,0.0,94670.77,1.0,0.0,0.0
206,550.0,1.0,37.0,3.0,0.0,1.0,1.0,1.0,179670.31,0.0,0.0,1.0
207,608.0,0.0,41.0,3.0,89763.84,1.0,0.0,0.0,199304.74,1.0,0.0,0.0
208,618.0,1.0,34.0,5.0,134954.53,1.0,1.0,1.0,151954.39,1.0,0.0,0.0
209,643.0,1.0,45.0,5.0,0.0,1.0,1.0,0.0,142513.5,1.0,0.0,0.0
210,671.0,1.0,45.0,2.0,106376.85,1.0,0.0,1.0,158264.62,0.0,1.0,0.0
211,689.0,1.0,33.0,2.0,161814.64,2.0,1.0,0.0,169381.9,1.0,0.0,0.0
212,603.0,1.0,31.0,8.0,0.0,2.0,1.0,1.0,169915.02,1.0,0.0,0.0
213,620.0,0.0,41.0,9.0,0.0,2.0,0.0,0.0,88852.47,1.0,0.0,0.0
214,676.0,0.0,34.0,1.0,63095.01,1.0,1.0,1.0,40645.81,0.0,1.0,0.0
215,572.0,1.0,26.0,4.0,118287.01,2.0,0.0,0.0,60427.3,0.0,1.0,0.0
216,668.0,1.0,47.0,7.0,106854.21,1.0,0.0,1.0,157959.02,1.0,0.0,0.0
217,695.0,1.0,46.0,7.0,49512.55,1.0,1.0,0.0,133007.34,0.0,0.0,1.0
218,730.0,0.0,33.0,9.0,0.0,2.0,0.0,0.0,176576.62,1.0,0.0,0.0
219,807.0,1.0,43.0,1.0,105799.32,2.0,1.0,0.0,34888.04,1.0,0.0,0.0
220,592.0,1.0,54.0,8.0,0.0,1.0,1.0,1.0,28737.71,1.0,0.0,0.0
221,726.0,0.0,31.0,9.0,114722.05,2.0,1.0,1.0,98178.57,0.0,0.0,1.0
222,514.0,1.0,30.0,7.0,0.0,1.0,0.0,1.0,125010.24,1.0,0.0,0.0
223,567.0,1.0,42.0,2.0,0.0,2.0,1.0,1.0,167984.61,1.0,0.0,0.0
224,850.0,1.0,33.0,10.0,0.0,1.0,1.0,0.0,4861.72,0.0,1.0,0.0
225,671.0,1.0,45.0,6.0,99564.22,1.0,1.0,1.0,108872.45,1.0,0.0,0.0
226,670.0,1.0,37.0,4.0,170557.91,2.0,1.0,0.0,198252.88,1.0,0.0,0.0
227,694.0,0.0,30.0,9.0,0.0,2.0,1.0,1.0,26960.31,0.0,1.0,0.0
228,547.0,0.0,39.0,6.0,74596.15,3.0,1.0,1.0,85746.52,0.0,1.0,0.0
229,751.0,1.0,50.0,2.0,96888.39,1.0,1.0,0.0,77206.25,0.0,1.0,0.0
230,594.0,0.0,29.0,3.0,130830.22,1.0,1.0,0.0,61048.53,1.0,0.0,0.0
231,673.0,1.0,72.0,1.0,0.0,2.0,0.0,1.0,111981.19,1.0,0.0,0.0
232,610.0,1.0,40.0,0.0,0.0,2.0,1.0,0.0,62232.6,1.0,0.0,0.0
233,512.0,0.0,37.0,1.0,0.0,2.0,0.0,1.0,156105.03,0.0,1.0,0.0
234,767.0,1.0,20.0,3.0,119714.25,2.0,0.0,1.0,150135.38,1.0,0.0,0.0
235,585.0,0.0,67.0,5.0,113978.97,2.0,0.0,1.0,93146.11,0.0,1.0,0.0
236,763.0,1.0,42.0,6.0,100160.75,1.0,1.0,0.0,33462.94,1.0,0.0,0.0
237,712.0,0.0,29.0,2.0,0.0,1.0,1.0,1.0,144375.0,0.0,1.0,0.0
238,539.0,0.0,43.0,3.0,116220.5,3.0,1.0,0.0,55803.96,1.0,0.0,0.0
239,668.0,0.0,46.0,2.0,0.0,3.0,1.0,0.0,89048.46,1.0,0.0,0.0
240,703.0,1.0,28.0,2.0,81173.83,2.0,0.0,1.0,162812.16,0.0,0.0,1.0
241,662.0,1.0,38.0,4.0,0.0,2.0,1.0,0.0,136259.65,0.0,1.0,0.0
242,725.0,0.0,39.0,5.0,116803.8,1.0,1.0,0.0,124052.97,1.0,0.0,0.0
243,703.0,1.0,37.0,8.0,105961.68,2.0,0.0,1.0,74158.8,0.0,1.0,0.0
244,659.0,1.0,67.0,6.0,117411.6,1.0,1.0,1.0,45071.09,0.0,0.0,1.0
245,523.0,1.0,34.0,7.0,0.0,2.0,1.0,0.0,62030.06,1.0,0.0,0.0
246,635.0,0.0,40.0,10.0,123497.58,1.0,1.0,0.0,131953.23,0.0,1.0,0.0
247,772.0,1.0,26.0,7.0,152400.51,2.0,1.0,0.0,79414.0,1.0,0.0,0.0
248,545.0,0.0,26.0,1.0,0.0,2.0,1.0,1.0,199638.56,0.0,1.0,0.0
249,634.0,1.0,24.0,8.0,103097.85,1.0,1.0,1.0,157577.29,0.0,1.0,0.0
250,739.0,1.0,54.0,8.0,126418.14,1.0,1.0,0.0,134420.75,0.0,1.0,0.0
251,771.0,0.0,36.0,5.0,77846.9,1.0,0.0,0.0,99805.99,0.0,0.0,1.0
252,587.0,0.0,34.0,1.0,0.0,2.0,1.0,1.0,97932.68,1.0,0.0,0.0
253,681.0,0.0,79.0,0.0,0.0,2.0,0.0,1.0,170968.99,0.0,1.0,0.0
254,544.0,1.0,37.0,2.0,79731.91,1.0,1.0,1.0,57558.95,0.0,0.0,1.0
255,696.0,1.0,28.0,8.0,0.0,1.0,0.0,0.0,176713.47,0.0,0.0,1.0
256,766.0,1.0,41.0,0.0,0.0,2.0,0.0,1.0,34283.23,1.0,0.0,0.0
257,727.0,1.0,34.0,10.0,0.0,2.0,1.0,1.0,198637.34,0.0,1.0,0.0
258,671.0,0.0,34.0,6.0,37266.67,2.0,0.0,0.0,156917.12,1.0,0.0,0.0
259,693.0,0.0,30.0,6.0,127992.25,1.0,1.0,1.0,50457.2,0.0,1.0,0.0
260,850.0,1.0,38.0,3.0,54901.01,1.0,1.0,1.0,140075.55,0.0,1.0,0.0
261,732.0,1.0,42.0,9.0,108748.08,2.0,1.0,1.0,65323.11,0.0,0.0,1.0
262,726.0,0.0,48.0,6.0,99906.19,1.0,1.0,0.0,64323.24,1.0,0.0,0.0
263,557.0,0.0,32.0,6.0,184686.41,2.0,1.0,0.0,14956.44,1.0,0.0,0.0
264,682.0,0.0,26.0,0.0,110654.02,1.0,0.0,1.0,111879.21,0.0,0.0,1.0
265,738.0,1.0,31.0,9.0,79019.8,1.0,1.0,1.0,18606.23,0.0,0.0,1.0
266,531.0,0.0,36.0,9.0,99240.51,1.0,1.0,0.0,123137.01,1.0,0.0,0.0
267,498.0,1.0,34.0,2.0,0.0,2.0,1.0,1.0,148528.24,1.0,0.0,0.0
268,651.0,1.0,36.0,7.0,0.0,2.0,1.0,0.0,13898.31,0.0,0.0,1.0
